id,nombre,categoria,n_comparten,marcas_en_grupo,imagen
2266,"Tub Red Neg 1 x 1,5 MM",Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2267,Tub Red Neg 1 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2268,Tub Red Neg 2 1/2 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2269,Tub Red Neg 2 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2270,Tub Red Neg 2 x 3.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2271,Tub Red Neg 3 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2272,Tub Red Neg 3 x 3.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2273,Tub Red Neg 4 x 2.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2274,Tub Red Neg 4 x 3.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2275,Tub Red Neg 4 x 4.0 MM,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
2276,Tub Red Neg 5 X3mm,Perfiles y Planchas,32,,https://http2.mlstatic.com/D_Q_NP_2X_819554-MLC99264461354_112025-E.webp
203,Broca Acero 15mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
204,Broca 10mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
205,Broca 12mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
213,Broca Acero 1.5 MM,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
214,Broca Acero 13mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
215,Broca Acero 14mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
216,Broca Acero 15mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
217,Broca Acero 2.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
218,Broca Acero 2.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
219,Broca Acero 3.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
220,Broca Acero 3.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
221,Broca Acero 4.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
222,Broca Acero 4.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
223,Broca Acero 5.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
224,Broca Acero 5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
225,Broca Acero 6.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
226,Broca Acero 6.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
227,Broca Acero 7.0mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
228,Broca Acero 7.5mm Wurth,Fijaciones,29,wurth,https://http2.mlstatic.com/D_Q_NP_2X_641496-MLC103756565483_012026-E.webp
